Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Average Speed
0,873690,263.13369626130816,0,0.0,532.703811973393
0,749795,262.1657858915846,0,0.0,532.9082865817456
0,712947,262.57770121389365,0,0.0,532.9420065071705
0,349481,263.6919935948759,0,0.0,532.7401175018595
0,234529,262.98292311392606,0,0.0,532.7365215287325
0,223012,263.6254908245853,0,0.0,532.8258245358415
0,440242,264.2061793700409,0,0.0,532.8815220378949
0,898852,262.9177922962844,0,0.0,532.5903201457614
0,553639,263.6915498598318,0,0.0,532.4449667977977
0,264834,262.6725483135278,0,0.0,532.83372331803
