Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Delay dict
1,592517,206.3461121940654,0,0.0,{}
1,430382,203.5011387051296,0,0.0,{}
1,544967,202.8994140625,0,0.0,{}
1,487543,206.9359349593496,0,0.0,{}
1,943789,204.48061257738678,0,0.0,{}
1,640528,204.19396177237186,0,0.0,{}
1,124934,204.43170228924814,0,0.0,{}
1,675239,204.06329388774293,0,0.0,{}
1,499642,204.4786806987089,0,0.0,{}
1,526235,203.41223029383065,0,0.0,{}
1,230541,202.15727164114261,0,0.0,{}
1,781841,200.86436083703785,0,0.0,{}
1,734512,201.96119661825276,0,0.0,{}
1,670095,204.15943130019537,0,0.0,{}
1,679936,201.69670710571924,0,0.0,{}
1,322972,202.76848038153045,0,0.0,{}
1,343246,202.88633903442303,0,0.0,{}
1,929714,203.38091106290673,0,0.0,{}
1,868982,203.86115630762555,0,0.0,{}
1,395697,204.78748780223356,0,0.0,{}
1,626697,203.44859711840536,0,0.0,{}
1,227478,202.48152962842596,0,0.0,{}
1,237725,203.39911091835629,0,0.0,{}
1,930378,202.5127347291172,0,0.0,{}
1,643984,203.07079261672095,0,0.0,{}
1,784738,201.65918699186992,0,0.0,{}
1,584506,201.96195534359418,0,0.0,{}
1,570531,203.900944933203,0,0.0,{}
1,625269,201.51679306608884,0,0.0,{}
1,578547,203.9468027358593,0,0.0,{}
1,196058,207.29226267880364,0,0.0,{}
1,978862,204.31464208242951,0,0.0,{}
1,831041,203.75490302307944,0,0.0,{}
1,844953,202.37934782608696,0,0.0,{}
1,169153,200.6983216025988,0,0.0,{}
1,129733,200.6474609375,0,0.0,{}
1,111456,204.3305057096248,0,0.0,{}
1,598451,202.81842877322612,0,0.0,{}
1,304340,205.1511400651466,0,0.0,{}
1,514481,203.84084995663486,0,0.0,{}
1,227741,203.4072506241181,0,0.0,{}
1,844667,205.6179945799458,0,0.0,{}
1,922711,204.45591584426853,0,0.0,{}
1,518734,204.65121317157713,0,0.0,{}
1,987467,201.37900684559384,0,0.0,{}
1,520166,204.46782419967445,0,0.0,{}
1,597806,204.41789587852494,0,0.0,{}
1,889537,201.94837870079166,0,0.0,{}
1,567292,203.62711680416848,0,0.0,{}
1,163881,204.28356268284756,0,0.0,{}
1,955684,203.94922593915774,0,0.0,{}
1,368480,202.6684347261312,0,0.0,{}
1,822706,203.5918102047449,0,0.0,{}
1,133866,204.04484256243214,0,0.0,{}
1,855769,201.06425005426524,0,0.0,{}
1,238008,202.70729855764017,0,0.0,{}
1,347910,204.01606600086842,0,0.0,{}
1,568303,200.6398828887443,0,0.0,{}
1,459273,204.6548586285343,0,0.0,{}
1,769160,204.10653516852716,0,0.0,{}
1,589722,203.5114140430596,0,0.0,{}
1,356291,204.0404467577532,0,0.0,{}
1,305835,204.28948511840105,0,0.0,{}
1,874014,201.31752577319588,0,0.0,{}
1,570663,201.30132234988076,0,0.0,{}
1,171944,202.66767895878525,0,0.0,{}
1,971547,205.98539593249674,0,0.0,{}
1,650159,205.48867208672087,0,0.0,{}
1,366824,203.25008133608068,0,0.0,{}
1,610014,203.12640936686904,0,0.0,{}
1,856614,203.59015859222245,0,0.0,{}
1,346533,203.92483163154463,0,0.0,{}
1,504642,202.92137271937446,0,0.0,{}
1,943846,205.8499457111835,0,0.0,{}
1,173555,204.71886159506548,0,0.0,{}
1,478404,203.23551705468327,0,0.0,{}
1,608431,203.21315561335066,0,0.0,{}
1,827634,201.81716579861111,0,0.0,{}
1,774921,204.51913459447707,0,0.0,{}
1,909506,204.12380642361111,0,0.0,{}
1,187962,205.56941431670282,0,0.0,{}
1,840576,202.86100260416666,0,0.0,{}
1,682806,201.43018580897532,0,0.0,{}
1,705302,205.19706999457406,0,0.0,{}
1,202358,202.88786365610073,0,0.0,{}
1,299087,204.9651364226938,0,0.0,{}
1,799781,203.59873995220508,0,0.0,{}
1,404717,204.3909465020576,0,0.0,{}
1,772271,202.38128718226068,0,0.0,{}
1,655713,205.03914552157883,0,0.0,{}
1,614650,205.37551507265235,0,0.0,{}
1,890478,204.31378935939196,0,0.0,{}
1,975438,205.81378187737386,0,0.0,{}
1,878990,202.77718804159446,0,0.0,{}
1,108923,202.87462039045553,0,0.0,{}
1,806429,203.3531767507306,0,0.0,{}
1,988754,203.799978340914,0,0.0,{}
1,144682,203.1866897147796,0,0.0,{}
1,100256,203.3347040363597,0,0.0,{}
1,239997,201.60708098744044,0,0.0,{}
